지역명,규모구분,연도,월,분양가격(제곱미터)
경남,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2375
경남,전용면적 85제곱미터초과 102제곱미터이하,2016,2,"2,925"
경남,전용면적 102제곱미터초과,2016,2,2673
제주,모든면적,2016,2,"2,268"
제주,전용면적 60제곱미터이하,2016,2,
제주,전용면적 60제곱미터초과 85제곱미터이하,2016,2,"2,260"
제주,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2583
제주,전용면적 102제곱미터초과,2016,2,"2,574"
서울,모든면적,2016,3,6173
서울,전용면적 60제곱미터이하,2016,3,"6,550"
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,3,6127
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,3,"7,179"
서울,전용면적 102제곱미터초과,2016,3,6371
인천,모든면적,2016,3,"3,190"
인천,전용면적 60제곱미터이하,2016,3,3323
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,3,"3,111"
인천,전용면적 85제곱미터초과 102제곱미터이하,2016,3,3545
인천,전용면적 102제곱미터초과,2016,3,"3,408"
경기,모든면적,2016,3,3215
경기,전용면적 60제곱미터이하,2016,3,"3,441"
경기,전용면적 60제곱미터초과 85제곱미터이하,2016,3,3259
경기,전용면적 85제곱미터초과 102제곱미터이하,2016,3,"3,363"
경기,전용면적 102제곱미터초과,2016,3,3680
부산,모든면적,2016,3,"3,178"
부산,전용면적 60제곱미터이하,2016,3,2951
부산,전용면적 60제곱미터초과 85제곱미터이하,2016,3,"3,102"
부산,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2957
부산,전용면적 102제곱미터초과,2016,3,"3,727"
대구,모든면적,2016,3,3119
대구,전용면적 60제곱미터이하,2016,3,"3,341"
대구,전용면적 60제곱미터초과 85제곱미터이하,2016,3,3154
대구,전용면적 85제곱미터초과 102제곱미터이하,2016,3,"2,539"
대구,전용면적 102제곱미터초과,2016,3,2743
광주,모든면적,2016,3,"2,590"
